"trial_tag","rt","response","trial_type","trial_index","plugin_version","time_elapsed","screen_failed","block","vignette_id","domain","offloading","consequences","version","measure","question_order","stimulus","slider_start"
"consent_screening","5584","{""welcome_text"":null,""informed_consent_one"":null,""benefits"":null,""juristicalBackground"":null,""consent_statements"":null}","survey","0","2.1.0","5652","false","","","","","","","","","",""
"","1301","{""Alter"":null,""Geschlechtsidentität"":null,""Bildungsabschluss"":null,""ProfessionStudy"":null}","survey","2","2.1.0","6973","","demographics","","","","","","","","",""
"","1039","{""study_flow"":null}","survey","3","2.1.0","8020","","instructions","","","","","","","","",""
"","1326","{""Q0"":"""",""Q1"":"""",""Q2"":"""",""Q3"":"""",""Q4"":""""}","survey-likert","4","2.1.0","9349","","","10","Betreuungs-/Aufsichtspflicht","no","low","no_low","likert_5","[0,1,2,3,4]","",""
"","771","50","html-slider-response","5","2.1.0","10126","","","10","Betreuungs-/Aufsichtspflicht","no","low","no_low","negligence_slider","","
    <div style=""max-width: 900px; margin: 0 auto; text-align: left; line-height: 1.55;"">
      <p>Oskar G. verbringt den Nachmittag im Haus seiner Schwester und betreut ihren Hund Milo. Sie hat ihm erklärt, dass Milo manchmal sofort in Richtung Straße läuft, wenn die Terrassentür aufgeht, und dass er dann besonders aufpassen muss.Oskar nimmt sich vor, beim Öffnen der Terrassentür bewusst darauf zu achten, wo Milo sich befindet.Am Nachmittag bringt Oskar gedankenversunken den Biomüll nach draußen.. Milo schlüpft unentdeckt hinaus und läuft auf die Straße.Ein Radfahrer, der gerade die Straße entlangfährt, macht eine Vollbremsung, weil er befürchtet, Milo könne weiter auf die Fahrbahn laufen. Er verfehlt den Hund knapp, gerät jedoch ins Wanken und stürzt zu Boden. Der Radfahrer bleibt unverletzt, jedoch trägt sein Fahrrad einen Sachschaden davon.</p>
    </div>
  
  <p><strong>Bitte beurteilen Sie in einem Gesamturteil zu welchem Grad die Person fahrlässig gehandelt hat:</strong></p>
  <p>0 (gar nicht fahrlässig) bis 100 (sehr fahrlässig)</p>
","50"
"","1099","{""Q0"":"""",""Q1"":"""",""Q2"":"""",""Q3"":"""",""Q4"":""""}","survey-likert","6","2.1.0","11227","","","23","Verkehr & öffentliche Mobilität","yes","low","yes_low","likert_5","[0,1,2,3,4]","",""
"","803","50","html-slider-response","7","2.1.0","12033","","","23","Verkehr & öffentliche Mobilität","yes","low","yes_low","negligence_slider","","
    <div style=""max-width: 900px; margin: 0 auto; text-align: left; line-height: 1.55;"">
      <p>Trainer Sebastian P. fährt mit seinem Auto eine U-17-Mannschaft zu einem Auswärtsspiel. Der Anschnall-Signalton seines Fahrzeugs ist seit einiger Zeit defekt. Sebastian weiß aus Erfahrung, dass sich einzelne Spieler während der Fahrt nicht immer freiwillig anschnallen.Um vor der Abfahrt daran zu denken, dies noch einmal zu kontrollieren, klebt er sich einen Zettel mit der Aufschrift „Alle angeschnallt?“ an das Armaturenbrett.Am Treffpunkt erscheinen einige Spieler verspätet, wodurch Zeitdruck entsteht. In der Hektik des Losfahrensnimmt Sebastian den Zettel nicht bewusst wahr undvergisst, die Anschnallpflicht zu überprüfen.An einer Kreuzung muss Sebastian plötzlich stark abbremsen. Ein nicht angeschnallter Spieler rutscht nach vorne und schlägt mit dem Kopf gegen die Rückenlehne des Vordersitzes. Er ist kurz benommen und klagt über Kopfschmerzen. In der Notaufnahme wird eine leichte Gehirnerschütterung diagnostiziert. Die ambulant behandelt wird.</p>
    </div>
  
  <p><strong>Bitte beurteilen Sie in einem Gesamturteil zu welchem Grad die Person fahrlässig gehandelt hat:</strong></p>
  <p>0 (gar nicht fahrlässig) bis 100 (sehr fahrlässig)</p>
","50"
"","918","{""Q0"":"""",""Q1"":"""",""Q2"":"""",""Q3"":"""",""Q4"":""""}","survey-likert","8","2.1.0","12953","","","2","Gesundheitsversorgung/Pflege","yes","low","yes_low","likert_5","[0,1,2,3,4]","",""
"","2969","50","html-slider-response","9","2.1.0","15925","","","2","Gesundheitsversorgung/Pflege","yes","low","yes_low","negligence_slider","","
    <div style=""max-width: 900px; margin: 0 auto; text-align: left; line-height: 1.55;"">
      <p>Dr. Jana H. ist Internistin in einer Gemeinschaftspraxis, überprüft am Nachmittag mehrere Laborergebnisse. Bei Frau K. fällt ein erhöhter Bilirubinwert auf. Jana möchte die Werte am Abend erneut kontrollieren, wenn das Labor die restlichen Daten eingetragen hat.Um daran erinnert zu werden, legt sie in der Praxissoftware eine elektronische Markierung an und notiert zusätzlich auf einem Zettel: „Bilirubin Klein – abends prüfen“.Im Verlauf des Nachmittags wird sie durch mehrere Anrufe und Rückfragen abgelenkt. Nach Feierabend schließt sie die Praxis, ohne die Kontrolle durchgeführt zu haben.Am nächsten Morgen ruft sie die Laborübersicht auf und sieht, dass sich der Bilirubinwert nicht verändert hat. Es besteht kein unmittelbarer Handlungsbedarf – der Wert sollte allerdings in der nächsten Zeit nochmal kontrolliert werden.</p>
    </div>
  
  <p><strong>Bitte beurteilen Sie in einem Gesamturteil zu welchem Grad die Person fahrlässig gehandelt hat:</strong></p>
  <p>0 (gar nicht fahrlässig) bis 100 (sehr fahrlässig)</p>
","50"
"","921","{""Q0"":"""",""Q1"":"""",""Q2"":"""",""Q3"":"""",""Q4"":""""}","survey-likert","10","2.1.0","16849","","","4","Gesundheitsversorgung/Pflege","no","low","no_low","likert_5","[0,1,2,3,4]","",""
"","1199","50","html-slider-response","11","2.1.0","18050","","","4","Gesundheitsversorgung/Pflege","no","low","no_low","negligence_slider","","
    <div style=""max-width: 900px; margin: 0 auto; text-align: left; line-height: 1.55;"">
      <p>Zu Beginn seiner Schicht führt Rettungssanitäter Lukas B. wie jeden Morgen eine kurze Fahrzeug- und Materialkontrolle durch.Da dies eine Routine Aufgabe für ihn ist, verlässt er sich auf sein Gedächtnis an alles zu denken, besonders daran, den Sauerstoffvorrat zu prüfen. Kurz bevor er diesen prüfen will, wird er von einem Anruf der Leitstelle unterbrochen, der sich auf eine organisatorische Rückfrage bezieht. Anschließend setzt Lukas die Prüfung fort, vergisst jedoch die Sauerstoffprüfung vollständig.Eine Stunde später wird Lukas mit seinem Team zu einem Notfall gerufen: Eine Patientin leidet unter schwerer Atemnot. Als Lukas das Beatmungsgerät anschließen will, stellt er fest, dass die Sauerstoffflasche nahezu leer ist.Das Team muss auf eine Reserveflasche aus dem hinteren Fach ausweichen, was zu einer kurzen Verzögerung führt. Die Patientin kann dennoch rechtzeitig stabilisiert werden. Als das Team die Patientin abtransportiert, reagiert ein Angehöriger jedoch verärgert auf die Verzögerung und äußert den Verdacht, dass der Rettungsdienst unzureichend vorbereitet gewesen sei. Er kündigt an, eine formelle Beschwerde einzureichen und den Vorfall „juristisch prüfen zu lassen“.</p>
    </div>
  
  <p><strong>Bitte beurteilen Sie in einem Gesamturteil zu welchem Grad die Person fahrlässig gehandelt hat:</strong></p>
  <p>0 (gar nicht fahrlässig) bis 100 (sehr fahrlässig)</p>
","50"
"","940","{""Q0"":"""",""Q1"":"""",""Q2"":"""",""Q3"":"""",""Q4"":""""}","survey-likert","12","2.1.0","18993","","","11","Betreuungs-/Aufsichtspflicht","no","high","no_high","likert_5","[0,1,2,3,4]","",""
"","1115","50","html-slider-response","13","2.1.0","20111","","","11","Betreuungs-/Aufsichtspflicht","no","high","no_high","negligence_slider","","
    <div style=""max-width: 900px; margin: 0 auto; text-align: left; line-height: 1.55;"">
      <p>Samuel H. passt an einem Samstagnachmittag auf den dreijährigen Matti in der Studiowohnung seiner Freunde auf. Während Matti spielt, befindet sich in der offenen Küche ein heißer Backofen mit einem Auflauf. Die Eltern hatten Samuel ausdrücklich darauf hingewiesen, dass Matti neuerdings nicht nur neugierig in die Küche läuft, sondern inzwischen sogar die Backofentür öffnen kann.Während Samuel im Wohnzimmer, mit dem Rücken zur Küchenzeile, eine Kommode aufbaut, läuft Matti in Richtung Küche.Erst als Matti laut aufschreit, erinnert er sich an den Backofen. Er findet Matti weinend auf dem Boden sitzend;dieser hatte es geschafft, die Backofentür zu öffnen und an die heiße Auflaufform zu fassen. Samuel fährt sofort mit ihm ins Krankenhaus. Dort wird eine Verbrennung zweiten Grades an den Handinnenflächen festgestellt.</p>
    </div>
  
  <p><strong>Bitte beurteilen Sie in einem Gesamturteil zu welchem Grad die Person fahrlässig gehandelt hat:</strong></p>
  <p>0 (gar nicht fahrlässig) bis 100 (sehr fahrlässig)</p>
","50"
